date,region,state,cases,deaths
2020-04-12,Nordeste,PB,101.0,13.0
2020-04-12,Nordeste,PE,952.0,84.0
2020-04-12,Nordeste,PI,44.0,7.0
2020-04-12,Sul,PR,738.0,30.0
2020-04-12,Sudeste,RJ,2854.0,170.0
2020-04-12,Nordeste,RN,298.0,15.0
2020-04-12,Norte,RO,35.0,2.0
2020-04-12,Norte,RR,79.0,3.0
2020-04-12,Sul,RS,653.0,16.0
2020-04-12,Sul,SC,721.0,24.0
2020-04-12,Nordeste,SE,44.0,4.0
2020-04-12,Sudeste,SP,8668.0,588.0
2020-04-12,Norte,TO,25.0,0.0
2020-04-13,Norte,AC,90.0,3.0
2020-04-13,Nordeste,AL,43.0,2.0
2020-04-13,Norte,AM,1275.0,71.0
2020-04-13,Norte,AP,242.0,5.0
2020-04-13,Nordeste,BA,714.0,21.0
2020-04-13,Nordeste,CE,1905.0,100.0
2020-04-13,Centro-Oeste,DF,638.0,15.0
2020-04-13,Sudeste,ES,430.0,14.0
2020-04-13,Centro-Oeste,GO,233.0,15.0
2020-04-13,Nordeste,MA,445.0,27.0
2020-04-13,Sudeste,MG,805.0,23.0
2020-04-13,Centro-Oeste,MS,113.0,4.0
2020-04-13,Centro-Oeste,MT,134.0,4.0
2020-04-13,Norte,PA,270.0,15.0
2020-04-13,Nordeste,PB,111.0,13.0
2020-04-13,Nordeste,PE,1146.0,101.0
2020-04-13,Nordeste,PI,50.0,8.0
2020-04-13,Sul,PR,756.0,31.0
2020-04-13,Sudeste,RJ,3220.0,182.0
2020-04-13,Nordeste,RN,333.0,17.0
2020-04-13,Norte,RO,42.0,2.0
2020-04-13,Norte,RR,83.0,3.0
2020-04-13,Sul,RS,664.0,16.0
2020-04-13,Sul,SC,815.0,26.0
2020-04-13,Nordeste,SE,44.0,4.0
2020-04-13,Sudeste,SP,8805.0,608.0
2020-04-13,Norte,TO,26.0,0.0
2020-04-14,Norte,AC,99.0,3.0
2020-04-14,Nordeste,AL,65.0,3.0
2020-04-14,Norte,AM,1484.0,90.0
2020-04-14,Norte,AP,307.0,6.0
2020-04-14,Nordeste,BA,766.0,24.0
2020-04-14,Nordeste,CE,2039.0,111.0
2020-04-14,Centro-Oeste,DF,651.0,17.0
2020-04-14,Sudeste,ES,463.0,17.0
2020-04-14,Centro-Oeste,GO,284.0,15.0
2020-04-14,Nordeste,MA,478.0,32.0
2020-04-14,Sudeste,MG,874.0,27.0
2020-04-14,Centro-Oeste,MS,115.0,4.0
2020-04-14,Centro-Oeste,MT,138.0,4.0
2020-04-14,Norte,PA,323.0,19.0
2020-04-14,Nordeste,PB,136.0,16.0
2020-04-14,Nordeste,PE,1276.0,114.0
2020-04-14,Nordeste,PI,58.0,8.0
2020-04-14,Sul,PR,791.0,36.0
2020-04-14,Sudeste,RJ,3409.0,224.0
2020-04-14,Nordeste,RN,370.0,18.0
2020-04-14,Norte,RO,64.0,2.0
2020-04-14,Norte,RR,113.0,3.0
2020-04-14,Sul,RS,700.0,18.0
2020-04-14,Sul,SC,840.0,28.0
2020-04-14,Nordeste,SE,45.0,4.0
2020-04-14,Sudeste,SP,9280.0,695.0
2020-04-14,Norte,TO,26.0,0.0
2020-04-15,Norte,AC,101.0,3.0
2020-04-15,Nordeste,AL,74.0,4.0
2020-04-15,Norte,AM,1554.0,106.0
2020-04-15,Norte,AP,334.0,7.0
2020-04-15,Nordeste,BA,874.0,27.0
2020-04-15,Nordeste,CE,2253.0,124.0
2020-04-15,Centro-Oeste,DF,682.0,17.0
2020-04-15,Sudeste,ES,557.0,18.0
2020-04-15,Centro-Oeste,GO,304.0,15.0
2020-04-15,Nordeste,MA,630.0,34.0
2020-04-15,Sudeste,MG,893.0,30.0
2020-04-15,Centro-Oeste,MS,121.0,4.0
2020-04-15,Centro-Oeste,MT,151.0,4.0
2020-04-15,Norte,PA,384.0,21.0
2020-04-15,Nordeste,PB,152.0,21.0
2020-04-15,Nordeste,PE,1472.0,142.0
2020-04-15,Nordeste,PI,75.0,8.0
2020-04-15,Sul,PR,803.0,38.0
2020-04-15,Sudeste,RJ,3742.0,265.0
2020-04-15,Nordeste,RN,393.0,19.0
2020-04-15,Norte,RO,69.0,2.0
2020-04-15,Norte,RR,114.0,3.0
2020-04-15,Sul,RS,747.0,19.0
2020-04-15,Sul,SC,841.0,28.0
2020-04-15,Nordeste,SE,46.0,4.0
2020-04-15,Sudeste,SP,10951.0,778.0
2020-04-15,Norte,TO,26.0,1.0
2020-04-16,Norte,AC,110.0,5.0
2020-04-16,Nordeste,AL,82.0,4.0
2020-04-16,Norte,AM,1719.0,124.0
2020-04-16,Norte,AP,362.0,9.0
2020-04-16,Nordeste,BA,955.0,33.0
2020-04-16,Nordeste,CE,2386.0,125.0
2020-04-16,Centro-Oeste,DF,716.0,20.0
2020-04-16,Sudeste,ES,760.0,25.0
2020-04-16,Centro-Oeste,GO,318.0,16.0
2020-04-16,Nordeste,MA,695.0,37.0
2020-04-16,Sudeste,MG,947.0,33.0
2020-04-16,Centro-Oeste,MS,131.0,5.0
2020-04-16,Centro-Oeste,MT,156.0,5.0
2020-04-16,Norte,PA,438.0,24.0
2020-04-16,Nordeste,PB,165.0,24.0
2020-04-16,Nordeste,PE,1674.0,159.0
2020-04-16,Nordeste,PI,91.0,8.0
2020-04-16,Sul,PR,832.0,41.0
2020-04-16,Sudeste,RJ,3943.0,301.0
2020-04-16,Nordeste,RN,394.0,20.0
2020-04-16,Norte,RO,76.0,3.0
2020-04-16,Norte,RR,142.0,3.0
2020-04-16,Sul,RS,780.0,19.0
2020-04-16,Sul,SC,871.0,29.0
2020-04-16,Nordeste,SE,48.0,4.0
2020-04-16,Sudeste,SP,11505.0,853.0
2020-04-16,Norte,TO,31.0,1.0
2020-04-17,Norte,AC,135.0,5.0
2020-04-17,Nordeste,AL,103.0,6.0
2020-04-17,Norte,AM,1809.0,145.0
2020-04-17,Norte,AP,370.0,10.0
2020-04-17,Nordeste,BA,1052.0,35.0
2020-04-17,Nordeste,CE,2669.0,149.0
2020-04-17,Centro-Oeste,DF,746.0,20.0
2020-04-17,Sudeste,ES,928.0,27.0
2020-04-17,Centro-Oeste,GO,335.0,16.0
2020-04-17,Nordeste,MA,797.0,40.0
2020-04-17,Sudeste,MG,1009.0,35.0
2020-04-17,Centro-Oeste,MS,143.0,5.0
2020-04-17,Centro-Oeste,MT,162.0,5.0
2020-04-17,Norte,PA,557.0,26.0
2020-04-17,Nordeste,PB,195.0,26.0
2020-04-17,Nordeste,PE,1996.0,185.0
2020-04-17,Nordeste,PI,102.0,8.0
